,No,City,Place,Review,Rating,Name,Date,Raw_Review,Raw_Rating
36,37,Agartala,Gedu Miar Maszid,situated heart city agartala oldest mosque agartala holy place muslims,3,Anonymous,,Situated in heart of the city of Agartala. Its the oldest Mosque of Agartala and very holy place for the Muslims..,dex
37,38,Agartala,Gondacherra Wildlife Sanctuary,place fauna problematic maintenance known tourist spot lack infrastructure makes standard,2,Anonymous,,This place is full of fauna but problematic part is maintenance here. Though it is a well-known tourist spot still there is lack of infrastructure which makes it below standard.,fuk
38,39,Agartala,Gedumian Mosque,mosques structure really nice visit holy place worship really clean,5,Anonymous,,"Though all mosques have same structure, this one is really nice to visit, a holy place to worship and really clean",gol
39,40,Agartala,Jagannath Temple,big compound number temples peaceful place happen hindu complex houses various gods lord jagannath centrepiece,4,Anonymous,,Big compound with a number of temples. Peaceful place to be if you happen to be a Hindu. The complex houses various gods with Lord Jagannath in centrepiece.,bas
40,41,Agartala,Haveli Museum,haveli museum located temple haveli museum old palace agartala converted museum useful know history princely state tripura learnt bigger state,4,Anonymous,,The Haveli museum is located just next to the temple. The Haveli Museum is the old palace of Agartala. This is converted to museum and useful to know the history of princely state of Tripura. We learnt how the once bigger state became one of...,bas
41,42,Agartala,"ISKCON, Math Chowmuhani",place inside math people worship tribute lord krishna lord balarama goddess subhadra,4,Anonymous,,"This place is inside a math. Here people worship and tribute to Lord Krishna, Lord Balarama, and Goddess Subhadra",bas
42,43,Agartala,Kalyan Sagar Lake,beautiful lake gaze afternoon heat bear spend time alos overcrowded local vendors kept hassling buy stuff overall good view,5,Anonymous,,It's a beautiful lake to gaze at but since it was afternoon & the heat was too much to bear we didn't spend much time.Alos it's overcrowded & the local vendors kept on hassling us to buy stuff from them.Overall a good view around the...,gol
43,44,Agartala,ISKCON Temple,peaceful place like iskcon temples parts world india place beautiful,5,Anonymous,,This is a peaceful place like other ISKCON temples in other parts of world and India. The place is beautiful too.,gol
44,45,Agartala,Jampui Hill,scenary breathtaking accomodation eden tourist lodge disappointing suitable families women children evening falls p starts getting intoxicated p hotel staff security guards drivers playing loud music consuming alcohol,4,Anonymous,,"The scenary is breathtaking. The only accomodation at Eden Tourist Lodge is disappointing.

Not suitable for families with women and children.
Evening falls at around 5p.m.
Everyone starts getting intoxicated by 5:01 p.m
The hotel staff,security guards and drivers were playing loud music,consuming alcohol and...",bas
45,46,Agartala,Kalapania Nature Park,large park maintained pond beautiful statues garden surely enjoy time spent worth visit,5,Anonymous,,"It is very large park well maintained with a pond in between and some beautiful statues in the garden.
One will surely enjoy here time spent.
Worth a visit",gol
46,47,Agartala,Kamaleswari Temple,kali temple situated border town kasba tripura location beautiful peaceful place offerings pray god peace simply sit meditate inside temple little activity,5,Anonymous,,"Its a Kali temple situated at the border town of Kasba, Tripura. The location is beautiful and peaceful. One can place their offerings and pray to God in peace. One can simply sit and meditate inside the temple as there is very little activity on...",gol
47,48,Agartala,Kalibari Temple,temple bangladesh border great temple maa kali temple person agartala udaipur tripura sundari bus mid way person auto,4,Anonymous,,This is a temple next to the Bangladesh border. Nothing great about the temple . It is Maa Kali temple.A person can go from Agartala or Udaipur( Tripura sundari )by bus. Mid way a person has to get down and take a auto as it...,bas
48,49,Agartala,Kamala Sagar,kamala sagar temple devoted maa kaali indo bangla border lake adjucent temple bath entering temple,4,Anonymous,,"Kamala Sagar temple is devoted to maa Kaali at Indo Bangla border. 
Lake is adjucent to the temple where one can take a bath before entering temple.",bas
49,50,Agartala,Neermahal Palace,quite near udaipur tripura situated middle rudra lake white single story building inspired lake palace udaipur rajasthan smaller scale need hire boat people hired boat,4,Anonymous,,"Quite near to Udaipur (Tripura). It is situated in the middle of Rudra lake. White single story building inspired by Lake Palace of Udaipur (Rajasthan) but on much smaller scale. 
You need to hire a boat. We were 6 people we hired a boat all...",bas
50,51,Agartala,Kunjaban Palace,structure damaged guard allow anybody inside tourist place skipped,3,Anonymous,,"The structure is damaged. The guard who was there does not allow anybody to go inside. As such, it is not a tourist place and can be skipped.",dex
51,52,Agartala,Malancha Niwas,malancha niwas place rabindranath tagore used stay came agartala difficult place place surrounded metal fence,2,Anonymous,,Malancha Niwas is a place where Rabindranath Tagore used to stay when he came to Agartala. It is very difficult to find this place as this place is surrounded by a metal fence.,fuk
52,53,Agartala,Rudrasagar Lake,special maintained boat journey neermahal minutes journey pleasant,4,Anonymous,,nothing special to see. not maintained well. boat journey to neermahal (only ten minutes journey) is pleasant.,bas
53,54,Agartala,Ram Thakur's Ashram,temple far away ujjayanta palace devotes ram thakur visit place spent minutes temple clean crowded,4,Anonymous,,This temple is not very far away from Ujjayanta Palace. Devotes of Ram Thakur visit this place. I spent 15 minutes here. The temple was clean and not much crowded.,bas
54,55,Agartala,Nehru Park,rs entry fee inside garden maintained lot couples sitting inside visited place statue nahruji middle garden,3,Anonymous,,There is a 10 Rs entry fee to go inside. The garden is not maintained. A lot of couples were sitting inside when I visited this place. A statue of Nahruji is in the middle of this garden.,dex
55,56,Agartala,Ramkrishna Mission,ramkrishna mission temple spread big area library ground floor bought books temple floor temple dedicated ramkrishnaparam hans,4,Anonymous,,Ramkrishna Mission temple is spread in a big area. There is a library on the ground floor. I bought 3 books from there. The temple is on the first floor. The temple is dedicated to RamKrishnaParam Hans.,bas
56,57,Agartala,Rose Valley Amusement Park,nice place spend quality time friends family visit place city,4,Anonymous,,A very nice place to spend some quality time with your friends and family. A must visit place in the city.,bas
57,58,Agartala,Ravindra Kanan,ravindra kanan situated near circuit house agartala tree flower collections great good family park visit,5,Anonymous,,"Ravindra kanan situated near circuit house of Agartala. Its tree, flower collections are great and very good family park for visit.",gol
58,59,Agartala,Sepahijala Wild Life Sanctuary,sepahijala wildlife sanctuary visit entire day animals natural environment animals look healthy fit,5,Anonymous,,"Sepahijala Wildlife Sanctuary is a must visit. It will take an entire day to see all the animals. Due to its natural environment, the animals look healthy and fit.",gol
59,60,Agartala,Sipahijala Wildlife Sanctuary,lovely wildlife sanctuary enter sanctuary private vehicle dare offbeat path lucky spot animals way zoo riding km,5,Anonymous,,Lovely Wildlife Sanctuary. You can enter the sanctuary with private vehicle but do not dare to go in a offbeat path. If you are lucky you can spot some animals on your way to the zoo which you will find after riding for 5 km...,gol
60,61,Agartala,Tripura Government Museum,history tripura region information dynasty ruled area artefacts attractions tripura section rabindranath tagore treasure trove discovered definitely requires visit,5,Anonymous,,"History of Tripura and the region, information of the dynasty that ruled over the area, artefacts, attractions around Tripura, the section on Rabindranath Tagore, are all a treasure trove to be discovered. Definitely requires a re-visit !",gol
61,62,Agartala,Sukanta Academy,good experience visit place awesome paintings display artifacts graffitis walls,5,Anonymous,,"It was a very good experience to visit the place, with all its awesome paintings for display and artifacts and graffitis  on its walls.",gol
62,63,Agartala,Ujjayanta Palace,good museum worth visiting captures artefacts fossilised trees age maharaja modern times,4,Anonymous,,Good museum that is worth visiting that captures artefacts from fossilised trees to the age of the maharaja modern times,bas
63,64,Agartala,Trishna Wildlife Sanctuary,trishna wild life sanctuary nature wild life tourists located tripura north east india distance km capital city agartala,3,Anonymous,,Trishna wild life sanctuary is a must see for nature and wild life tourists. it is located in tripura of north east india at a distance of 110 km from capital city Agartala.,dex
64,65,Agartala,Tripura State Tribal Museum,worth visit time agartala want feel local cultures,4,Anonymous,,Worth a visit if this is your first time to Agartala and you want to get a feel of the local cultures.,bas
65,66,Agartala,Unakoti,word unakoti means crore site maintained archeological survey india visitors allowed free entry reach place dharmanagar shares auto sumo god shiva idols linga,5,Anonymous,,"The word ""Unakoti"" means one less than a crore. This site is maintained by Archeological survey of India and visitors are allowed free entry. One can reach at this place from Dharmanagar through shares Auto/Sumo. At most of the part, God Shiva idols and linga...",gol
66,67,Agartala,Umamaheswar Temple,uma maheswar temple situated agartala ujjayanta palace town hall good destination tourists,4,Anonymous,,Uma Maheswar temple situated At Agartala beside Ujjayanta palace and in front of Town hall. very good destination for the tourists.,bas
67,68,Agartala,Ummaneshwar Temple,famous miracles locals travellers divine atmosphere hymns prayers devotees,4,Anonymous,,Famous for its miracles among the locals as well as the travellers. had a divine atmosphere full of hymns and prayers and devotees.,bas
68,69,Agatti,Island of Thinnakara,nature thinnakara paradise wrong sun hot sand hot water coconut right place shadow blue green perfect color water people feel like island metters,5,Anonymous,,"the nature in Thinnakara is just paradise ! nothing wrong : sun not too hot, sand not too hot, water 30°, coconut just in the right place for shadow, blue-green perfect color of water, few people, you feel like alone in the island few metters...",gol
69,70,Agatti,Lakshadweep Tour Package - Day Tours,wanted visit lakshadweep number mathew contact helpful start helped planning finalising itinerary helped getting permit time landed,4,Anonymous,,"We had always wanted to visit Lakshadweep and found number of Mathew from a contact.
He was very helpful from start. He helped in planning and finalising the itinerary and also helped in getting the permit.
from the time we landed we had someone to...",bas
70,71,Agartala,Venuban Vihar Buddha Shrine,visited ven bihar buddha temple way airport quite close airport serene visit buddha temple agartala,4,Anonymous,,We visited Ven Bihar Buddha temple on the way to the airport. This is quite close to the airport and very serene to visit. A Buddha temple in Agartala.,bas
71,72,Agonda,Agonda Beach,dream palm beach nice bars restaurans sides bay exclusive serenity,4,Anonymous,,"a dream palm beach, with nice bars and restaurans. and on both sides of the bay its more exclusive and you find serenity.",bas
72,73,Agatti,Lakshadweep Yathra Holidays,manager claimed ensure comfort trip alloted poor quality non ac bus breakfast okay served quite late reaching attraction sites pay pockets tickets,5,Anonymous,,"Although the manager claimed that he would ensure full comfort during the trip, we were alloted a poor-quality non-ac bus. The breakfast was okay but was served quite late. On reaching the attraction sites, we had to pay from our own pockets for the tickets....",gol
73,74,Agonda,Animal Shelter Agonda,visited sanctuary staying agonda beach arrived animals fed uplifting visit brandy takes abandoned injured animals nurtures loving homes,4,Anonymous,,"We visited the Sanctuary when we were staying at Agonda Beach.  We arrived when the animals were about to be fed and it was the most uplifting visit.  Brandy takes in abandoned and injured animals, she nurtures them all and will find loving homes for...",bas
74,75,Agonda,Aloha Surf India,surf lesson guys aloha great instructors continued rent boards helpful honest time surf waves waves perfect beginners,5,Anonymous,,"We had a surf lesson with the guys at aloha. They were great instructors, we continued to rent boards off them and they were very helpful and honest about the time to surf and amount of waves. The waves were perfect for beginners, and some...",gol
75,76,Agonda,Bio Veda Ayurvedic Beach Resort Spa,husband booked body massage stay agonda special ok given experienced massage delhi definitely rated higher look alternatives,5,Anonymous,,"My husband and I booked a full body massage each during our stay at Agonda.  It was nothing special just ok. Given that we had also experienced a massage in Delhi which we definitely rated higher, we would look at alternatives",gol
76,77,Agonda,Fluidsymmetry,daniel offers words dances water gentle massage really release tension highly recommend personal watsu methods,4,Anonymous,,What Daniel offers is beyond words. He dances you through the water with gentle massage until you really release all tension. Highly recommend his own personal Watsu methods.,bas
77,78,Agonda,AUGUSTIN Studio & Gallery,want capture awesome memories great job idea want capture,5,Anonymous,,"If you want to capture a few of your awesome memories, then they do a great job - go for it. give them idea in what do you want to capture?",gol
78,79,Agonda,Chapoli Dam,beaches agonda beach werent good dam amazing absolute peace quite lots birds chirping,3,Anonymous,,"As if the beaches on agonda beach werent good, this dam is even more amazing. Absolute peace and quite with lots of birds chirping!",dex
79,80,Agonda,Galgibaga Beach,olive ridley turtles bigger heavier tortoises lay eggs october march galibaga beach wee hours female turtle visits beach laying eggs female returns sea,3,Anonymous,,"Olive Ridley turtles , bigger and heavier than tortoises lay eggs between October and March on the Galibaga beach . In the wee hours the female turtle visits the beach . After laying around 100 eggs , the female returns to the sea . The...",dex
80,81,Agonda,Krishna Ayurveda Massage Centre,visited krishna ayurveda friend enjoyed traditional indian massage aroma oils body head therapist sandeep good profetional massage list difficult choose big list massages radha recommended,5,Anonymous,,"We visited Krishna Ayurveda with my friend and both enjoyed traditional Indian massage, with aroma oils, whole body,and head.Therapist name is Sandeep. He is very good and profetional.Many massage there list  It was difficult to choose from a big list of massages but Radha recommended...",gol
81,82,Agonda,Go Kayak,wait days kayaking waves strong allowed kayak days later got chance kayak early morning amazing experience kayak goa,5,Anonymous,,Had to wait for 2 days to get into a kayaking. As the waves were strong we were not allowed to kayak. But  2 days later we got the chance to kayak early in the morning. It was an amazing experience to kayak in goa.,gol
82,83,Agonda,Om Ayurvedic Massage Center,variety treatments om ayurvedic massage day days time felt good relaxed peaceful truly amazing experience therapists offer combinations different body massages reflexology facials detox massages,5,Anonymous,,"I have had a variety of treatments at Om Ayurvedic Massage every day for 15 days and each time I felt very good, relaxed and peaceful - a truly amazing experience! The therapists offer combinations of different body massages, reflexology, facials, detox massages and they...",gol
83,84,Agonda,Rock Formations,perfect beach ensure gentle waves spot monkeys close beach amazing spot wallow sea unlike main beach waves forceful strong,5,Anonymous,,Perfect part of the beach to ensure gentle waves. You can even spot monkeys close to the beach. An amazing spot to wallow in the sea. Unlike the main part of the beach where the waves were too forceful for anyone other than a strong...,gol
84,85,Agonda,Partagal Matha Temple,religious place finding temple goa unusual visit calm place badly maintained say,3,Anonymous,,"This is a religious place and finding a temple in Goa seems unusual. However, you can visit this calm place once. However, its badly maintained is what I can say.",dex
85,86,Agonda,Purnam Yoga Teacher Training in Goa,travelled agonda nice quiet atmosphere come purnam yoga school yoga retreat days great experience come days yoga teacher,5,Anonymous,,We Travelled to agonda for a nice and quiet atmosphere and we come across with purnam yoga school and we did the yoga retreat for 10 days and its a great experience for us. we will come back and do the 25 days Yoga Teacher...,gol
86,87,Agra,Agra Art Gallery,bought shop souvenirs marble shipped wonderful marble plate carved decorated colorful stones excited received package house beautiful precious,5,Anonymous,,"I bought in this shop some souvenirs in marble and they shipped to me 'my' wonderful marble plate, carved and decorated with colorful stones. I was so excited when I received the package at my house and you can see how beautiful and precious it...",gol
87,88,Agonda,PetraVeda,massage like visit petra feel like walk foot taller went wearing slippers clouds beautiful combination massage sound healing leaves feeling relaxed,5,Anonymous,,"This massage is like no other I’ve had before. Whenever I visit Petra I feel like I walk out three foot taller than when I went in, wearing slippers made from clouds. A beautiful combination of massage and sound healing leaves me feeling relaxed for...",gol
88,89,Agonda,Saint Anna Taxi and Tours,condition car good driver friendly great experience kids enjoyed lot,5,Anonymous,,"Condition of the car is good, driver is friendly... Over all it was a great experience and my kids enjoyed a lot",gol
89,90,Agonda,Yoga Leela Agonda Rama Yoga Center,enjoyed really fun dynamic yoga class including pranayama meditation rama teacher really warm friendly welcoming adjusts class levels friend beginner experienced yoga teacher lot,5,Anonymous,,"Enjoyed a really fun dynamic yoga class including pranayama and meditation. Rama the teacher is really warm, friendly and welcoming. He adjusts the class for all levels so both my friend (a beginner) and myself (an experienced yoga teacher) could get a lot out of...",gol
90,91,Agra,Agra Fort,main residence emperors mughal dynasty capital shifted agra delhi site covers acres open public approximately acres constructed,3,Anonymous,,"It was the main residence of the emperors of the Mughal Dynasty until 1638 when the capital was shifted from Agra to Delhi.  This site covers 82 acres, of which 20% is open to the public, approximately 16 a 18 acres.  It is constructed of...",dex
91,92,Agra,Agra Fort Railway Station,oldest station city agra currently important agra cantonment station opened surpasses located primary north south line delhi gwalior agra fort station connects tundla junction east,3,Anonymous,,"This is the oldest station in the city of Agra (1874), but it's currently not the most important: the Agra Cantonment station (opened in 1902) surpasses it, being located on the primary north-south line Delhi-Gwalior
Agra Fort station connects the Tundla junction (to the east,...",dex
92,93,Agra,Anguri Bagh,great view thanks authorities maintenance grass fountains working great place,5,Anonymous,,"Though this would have been a great view but thanks to the authorities, there is no maintenance. No grass, fountains not working. Please do something to this great place.",gol
93,94,Agra,Chini Ka Rauza Mausoleum,like monuments delhi agra chini ka rauza mausoleum banks yamuna far itimad ud daula tomb houses tomb allama afzal khan mullah poet prime minister shah jahan,4,Anonymous,,"Like most monuments in Delhi an Agra Chini ka Rauza is also a mausoleum. On the banks of the Yamuna, not far from the Itimad-ud-Daula tomb, it houses the tomb of Allama Afzal Khan Mullah a poet and the Prime Minister of Shah Jahan. This...",bas
94,95,Agra,Army School,perfect place child good person terms knowledge atticates perfect blend kudos,5,Anonymous,,"A perfect place for your child to become a good person in terms of knowledge as well as atticates.
Perfect blend of both. 
Kudos...",gol
95,96,Agra,Bageshwarnath Temple,visit place combo spirituali history spirtuality cos shivji temple history cos place people gathered kuli begar tax beginning freedom movement uttrakhand sangam saryu,4,Anonymous,,A must visit place with a combo of spirituali and history.spirtuality cos of shivji temple and history cos it is the same place where 40000 people gathered in 1921 against kuli begar tax.It was the  beginning of freedom movement from uttrakhand.A sangam of saryu and...,bas
96,97,Agra,Balkeshwar Mandir,old mahadeo temple agra holy month saawan thousands local people visit place worship,4,Anonymous,,"This is very very old Mahadeo Temple in Agra ,in the holy month of Saawan ,thousands of local people visit this place for worship.",bas
97,98,Agra,Ashok Cosmos Mall,nice place indoor shopping fbb lifestyle reliance trends barbecue nation lunch n dinner walk nearby pizza hut n dominos meters,4,Anonymous,,"It’s a nice place for indoor shopping with FBB, lifestyle and reliance trends. It has a barbecue nation for lunch n dinner. One could also walk to nearby Pizza Hut n Dominos (100 meters)",bas
98,99,Agra,Chhatri of Raja Jaswant Singh,place historical importance place maintained certainly wish authorities care place,5,Anonymous,,"though a place of historical importance,this place is not well maintained. I would certainly wish the authorities to take care of this place",gol
99,100,Agra,Bateshwar Temples,place friends liberally liked kind loneliness secluded place used temples exist visited loved watching different sized turtles,5,Anonymous,,Was at this place with one of my friends. Liberally liked kind of loneliness of this secluded place. There used to be 101 temples but now only about 20 of them exist. We just visited some of them and I loved watching different sized turtles...,gol
100,101,Agra,Chini Ka Rauza,chini ka rauza situated kms agra railway station kilometer north itmad ud daulah tomb eastern bank yamuna river agra open days sunrise sunset approach prominent,4,Anonymous,,"Chini ka Rauza is situated about 11 Kms from Agra Cant Railway station and just 1 kilometer north of Itmad-Ud-Daulah Tomb, on the eastern bank of Yamuna river in Agra. It is open: on all days  from Sunrise to Sunset. The approach is not prominent...",bas
